violent_pos_idx,violent_video,violent_label,violent_text,closest_nonviolent_pos_idx,closest_nonviolent_video,closest_nonviolent_text,similarity
191,Explosion046_x264,Explosion,"Many vehicles with lights on are passing by in the upper right corner of the screen. Many large trucks were parked on one side of the road. White smoke continued to emit from the vehicle, and flames continued to drip from the bottom of the vehicle. T...",95,Arson019_x264,"A man quickly came to a black car parked on the roadside The man quickly left the black car on the same route. At the same time, the black car began to burn and emit flames. There was a car passing by on the road some distance away from the burning c...",0.789211094379425
190,Explosion006_x264,Explosion,Many cars are driving on the horizontal road at the intersection. A car drove to a T-intersection. The car exploded. The car stopped. Some people around quickly ran to the car....,287,RoadAccidents060_x264,There are many cars driving at the intersection Two cars collided Two or three passers-by rushed to help...,0.6945227384567261
186,Explosion002_x264,Explosion,A man in blue is walking with something in his pocket. A tanker truck leaves the gas station. The man in blue and a man in blue and white walked to a black car to refuel. The man in blue took out the refueling gun from the fuel port of the black car....,89,Arson013_x264,A man in purple walked to the door of the house carrying a red gasoline barrel from a distance The man in purple ran away again carrying the bucket. A car passed by the roadside next to the house The man in purple came to the house with gasoline In a...,0.6867002248764038
188,Explosion004_x264,Explosion,"Two people wearing firefighting gear stood outside the door.  Flames erupted from the door. The two people outside the door ran away. A man came over, picked up the water gun on the ground and sprayed water into the door. A man came over and grabbed ...",95,Arson019_x264,"A man quickly came to a black car parked on the roadside The man quickly left the black car on the same route. At the same time, the black car began to burn and emit flames. There was a car passing by on the road some distance away from the burning c...",0.6408989429473877
141,Burglary021_x264,Burglary,"A truck drove backwards, and its rear directly hit the store door. The truck moves forward for a distance Two men got out of the car. Two men entered the store. Two men tried to lift a motorcycle onto a truck The man struggled to push the motorcycle ...",485,Stealing008_x264,"A white truck drove on the road outside a relatively empty parking lot and stopped at the entrance of the parking lot. The white truck tries to slowly back into the parking lot The white truck drove forward for a while, adjusted the angle, and then b...",0.6311268210411072
109,Assault014_x264,Assault,There is a black car parked on the side of the road. A man came out from the side and opened the car door remotely. The man went around to the car door and opened it to get in the car. There were four men approaching from a distance on the road not f...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.6291711330413818
135,Burglary015_x264,Burglary,More than 10 people wearing clothes of different colors poured into the supermarket. Several black men in white clothes came in one after another Several people wearing clothes of different colors poured into the supermarket. People go to various she...,814,Normal_Videos135_x264,"In a large supermarket, there are many people shopping, and the supermarket shelves are filled with various products. A woman wearing a gray and red top pushed a shopping cart forward. A man in blue came forward to talk to her, and then the two separ...",0.6231685876846313
33,Abuse034_x264,Abuse,"Vehicles are driving normally on the road, a child is walking on the roadside, and a child appears crossing the road The child suddenly ran towards the road. At this time, a car happened to pass by. After the car passed by, the child ran over. 2 moto...",484,Stealing007_x264,"There are many vehicles passing by on the road, and four people are walking upwards A motorcycle carrying two people stopped in the middle of the road The man in blue got off the motorcycle, and the man in yellow moved to the driving seat A man weari...",0.6181796789169312
432,Shooting014_x264,Shooting,A man is talking to a woman The man got up and left The man stood up and held a knife against the woman’s back Man drawing with his finger and talking to a woman The woman gave the money to the man The woman took the money and closed the drawer Men a...,579,Normal_Videos_014_x264,The cashier collects the customer's money and puts it into the cash register The cashier takes out yellow coins from the cash register and gives change to the customer The customer left with the bag on the left side of the cashier Passing a supermark...,0.6168679594993591
189,Explosion005_x264,Explosion,There are many vehicles driving on the two-way road. A truck passed by. A burning tricycle hit the railing to the left.  A tricycle on fire burned after it was parked on the road. Two trucks stopped. A man stopped riding an electric bicycle. The elec...,334,RoadAccidents108_x264,"Many cars driving on the road There are two people crossing the road A car hit a tricycle, and then the car drove away Some people ran towards the overturned tricycle Many people ran to the middle of the road to help up the tricycle People run to the...",0.6016455888748169
366,Robbery032_x264,Robbery,A long-haired woman in white clothes is walking on the roadside Two motorcycles passed by on the road A black car passed by A motorcycle passed by A woman in orange clothes was walking on the roadside. She was grabbed by the hair by a man in yellow c...,788,Normal_Videos108_x264,"There are two rows of motorcycles parked on the ground, and there are several men sitting on the motorcycles on the right A man in white clothes and white trousers walked to the motorcycle at the end and put his arm around the man in black sitting on...",0.5958253741264343
53,Arrest018_x264,Arrest,"Two police cars are parked on the left side of the road. There are two people parked on the left side of the road walking in the middle of the road. There are many people moving on the roadside. A man ran out of a roadside shop, crossed the road and ...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5925249457359314
436,Shooting019_x264,Shooting,Someone is walking in the distance in the dark night A man in black walked from the intersection to the distance A white car drove past in the distance A white car drove up in the distance A little black man is walking in the distance A small black c...,1114,Normal_Videos482_x264,"On a road, a man in white and a white car set off to the right at the same time. Then the man left the camera, the white car parked in the parking area, and a car passed by the road The camera turns to dark night, a man walks from the left to the rig...",0.5885066986083984
